experiment,model_name,conv_filters,dropout_rate,kernel_sizes,pooling_type,test_macro_f1,type,validation_macro_f1,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image
rnn_layers2_hidden2_keras_beam5_maxlen20,rnn_layers2_hidden2,,,,,,Captioning,,keras,beam,5,20,38,0.0,0.0,50,1024,5.161088415999984,0.10322176831999968
rnn_layers2_hidden4_keras_greedy_maxlen20,rnn_layers2_hidden4,,,,,,Captioning,,keras,greedy,,20,38,0.06910227510413736,0.2049037373438333,50,1024,1.345478124989313,0.026909562499786262
rnn_layers2_hidden4_keras_beam3_maxlen20,rnn_layers2_hidden4,,,,,,Captioning,,keras,beam,3,20,38,0.06910227510413736,0.2049037373438333,50,1024,31.869149833000847,0.637382996660017
rnn_layers2_hidden4_keras_beam5_maxlen20,rnn_layers2_hidden4,,,,,,Captioning,,keras,beam,5,20,38,0.06910227510413736,0.2049037373438333,50,1024,26.750204874999326,0.5350040974999866
rnn_layers3_hidden2_keras_greedy_maxlen20,rnn_layers3_hidden2,,,,,,Captioning,,keras,greedy,,20,38,0.06910227510413736,0.2049037373438333,50,1024,1.5877310420037247,0.03175462084007449
rnn_layers3_hidden2_keras_beam3_maxlen20,rnn_layers3_hidden2,,,,,,Captioning,,keras,beam,3,20,38,0.06910227510413736,0.2049037373438333,50,1024,93.2316572080017,1.8646331441600341
rnn_layers3_hidden2_keras_beam5_maxlen20,rnn_layers3_hidden2,,,,,,Captioning,,keras,beam,5,20,38,0.06910227510413736,0.2049037373438333,50,1024,,
rnn_layers3_hidden4_keras_greedy_maxlen20,rnn_layers3_hidden4,,,,,,Captioning,,keras,greedy,,20,38,0.06910227510413736,0.2049037373438333,50,1024,1.5355500830046367,0.030711001660092732
rnn_layers3_hidden4_keras_beam3_maxlen20,rnn_layers3_hidden4,,,,,,Captioning,,keras,beam,3,20,38,0.06910227510413736,0.2049037373438333,50,1024,88.76645645800454,1.7753291291600908
rnn_layers3_hidden4_keras_beam5_maxlen20,rnn_layers3_hidden4,,,,,,Captioning,,keras,beam,5,20,38,0.06910227510413736,0.2049037373438333,50,1024,95.4410593749999,1.9088211874999979
init_lstm_layers1_hidden2_keras_greedy_maxlen10,init_lstm_layers1_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.0,0.0,1000,1024,1.1097625830007019,0.0011097625830007018
init_lstm_layers1_hidden2_keras_greedy_maxlen38,init_lstm_layers1_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.0,0.0,1000,1024,0.4821625000004133,0.00048216250000041326
init_lstm_layers1_hidden2_scratch_greedy_maxlen10,init_lstm_layers1_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.0,0.0,1000,1024,2.152852333998453,0.0021528523339984533
init_lstm_layers1_hidden2_scratch_greedy_maxlen20,init_lstm_layers1_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.0,0.0,1000,1024,1.684829207999428,0.0016848292079994281
init_lstm_layers1_hidden2_scratch_greedy_maxlen38,init_lstm_layers1_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.0,0.0,1000,1024,2.082606042000407,0.002082606042000407
init_lstm_layers1_hidden4_keras_greedy_maxlen10,init_lstm_layers1_hidden4,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,4.871958250001626,0.004871958250001626
init_lstm_layers1_hidden4_keras_greedy_maxlen38,init_lstm_layers1_hidden4,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,18.114169791000677,0.018114169791000678
init_lstm_layers1_hidden4_scratch_greedy_maxlen10,init_lstm_layers1_hidden4,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,16.80950904099882,0.01680950904099882
